procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 4  0      0 55773116  81720 3578392    0    0     0     0 15684 2496 27  9 64  0  0 2021-07-25 04:22:17
 2  0      0 55772756  81720 3578392    0    0     0     0 13470 2152 28  7 64  0  0 2021-07-25 04:22:18
 1  0      0 55773132  81720 3578392    0    0     0     0 14060 2597 25  8 67  0  0 2021-07-25 04:22:19
 2  0      0 55771956  81720 3578392    0    0     0     0 11073 2922 18  4 78  0  0 2021-07-25 04:22:20
 2  0      0 55767528  81720 3578392    0    0     0     0 13725 2037 24 10 66  0  0 2021-07-25 04:22:21
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 2  0      0 55772248  81720 3578392    0    0     0     0 13175 2514 28  9 63  0  0 2021-07-25 04:22:22
 2  0      0 55772220  81720 3578392    0    0     0     0 8677 1963 19  9 72  0  0 2021-07-25 04:22:23
 2  0      0 55755264  81720 3578392    0    0     0     0 11894 2362 27  9 65  0  0 2021-07-25 04:22:24
 3  0      0 55798112  81720 3578392    0    0     0     0 12408 2768 26  8 66  0  0 2021-07-25 04:22:25
 2  0      0 55797952  81720 3578396    0    0     0 91424 12856 3041 25  9 65  1  0 2021-07-25 04:22:26
 2  0      0 55792920  81720 3578396    0    0     0     0 9861 2587 18 10 72  0  0 2021-07-25 04:22:27
 2  0      0 55801932  81720 3578396    0    0     0     0 10768 2432 25  8 67  0  0 2021-07-25 04:22:28
 2  0      0 55794852  81728 3578396    0    0     0    80 11274 2133 23 10 67  0  0 2021-07-25 04:22:29
 2  0      0 55796952  81728 3578396    0    0     0     0 11892 2589 26  8 66  0  0 2021-07-25 04:22:30
 1  0      0 55797128  81728 3578396    0    0     0     8 11641 2243 25 10 65  0  0 2021-07-25 04:22:31
 2  0      0 55793236  81728 3578396    0    0     0     0 12046 2361 23  9 68  0  0 2021-07-25 04:22:32
 2  0      0 55790056  81728 3578396    0    0     0     0 7459 3158 27  5 68  0  0 2021-07-25 04:22:33
 4  0      0 55788016  81728 3578396    0    0     0     0 5054 2758 33  5 62  0  0 2021-07-25 04:22:34
 2  0      0 55787764  81728 3578396    0    0     0     0 4672 1902 34  7 60  0  0 2021-07-25 04:22:35
 2  0      0 55783228  81728 3578396    0    0     0     0 4150 1449 28  6 66  0  0 2021-07-25 04:22:36
 2  0      0 55689680  81728 3672372    0    0     0     0 9505 2251 29  8 63  0  0 2021-07-25 04:22:37
 2  0      0 55689036  81728 3672372    0    0     0     0 14014 2847 22  7 71  0  0 2021-07-25 04:22:38
 2  0      0 55689792  81728 3672372    0    0     0     0 14298 3064 26  7 67  0  0 2021-07-25 04:22:39
 2  0      0 55688708  81728 3672372    0    0     0     0 11866 2673 24  8 69  0  0 2021-07-25 04:22:40
 2  0      0 55684340  81728 3672372    0    0     0     4 15129 3246 22  6 72  0  0 2021-07-25 04:22:41
 2  0      0 55662932  81728 3672372    0    0     0     0 12771 3037 24  7 69  0  0 2021-07-25 04:22:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
